PseudoTicket,Action,Type,Symbol,Lots,Date,Price
154,CLOSE,SELL,EURUSD,1.0,2011-11-29 08:51:19,1.3322700000000001
155,OPEN,BUY,EURUSD,1.0,2011-11-29 10:14:21,1.33866
155,CLOSE,BUY,EURUSD,1.0,2011-11-29 10:15:43,1.3397600000000001
156,OPEN,BUY,EURUSD,1.0,2011-11-29 11:23:59,1.3401700000000001
156,CLOSE,BUY,EURUSD,1.0,2011-11-29 11:43:32,1.3388199999999999
157,OPEN,SELL,EURUSD,1.0,2011-11-30 06:57:02,1.3301499999999999
157,CLOSE,SELL,EURUSD,1.0,2011-11-30 07:04:56,1.32952
158,OPEN,SELL,EURUSD,1.0,2011-11-30 07:16:09,1.3266199999999999
159,OPEN,SELL,EURUSD,1.0,2011-11-30 07:17:31,1.3266899999999999
160,OPEN,SELL,EURUSD,1.0,2011-11-30 07:18:22,1.3263199999999999
161,OPEN,SELL,EURUSD,1.0,2011-11-30 07:20:09,1.32623
158,CLOSE,SELL,EURUSD,1.0,2011-11-30 09:08:19,1.3290599999999999
159,CLOSE,SELL,EURUSD,1.0,2011-11-30 09:08:23,1.32908
160,CLOSE,SELL,EURUSD,1.0,2011-11-30 09:08:27,1.3290599999999999
161,CLOSE,SELL,EURUSD,1.0,2011-11-30 09:08:30,1.3291500000000001
162,OPEN,BUY,EURUSD,1.0,2011-11-30 13:12:16,1.34301
163,OPEN,BUY,EURUSD,1.0,2011-11-30 13:23:20,1.3426100000000001
164,OPEN,BUY,EURUSD,1.0,2011-11-30 14:03:12,1.35103
164,CLOSE,BUY,EURUSD,1.0,2011-11-30 14:06:48,1.35127
165,OPEN,BUY,EURUSD,1.0,2011-11-30 14:10:09,1.3498699999999999
165,CLOSE,BUY,EURUSD,1.0,2011-11-30 14:16:43,1.3506199999999999
166,OPEN,BUY,EURUSD,1.0,2011-11-30 14:23:38,1.34938
